0,1,2
107.0,29.0,1155.0
107.0,30.0,1166.5
107.0,31.0,1177.5
107.0,32.0,1192.5
107.0,33.0,1208.5
107.0,34.0,1226.0
107.0,35.0,1261.5
107.0,36.0,1311.5
107.0,37.0,1353.5
107.0,38.0,1378.5
107.0,39.0,1403.5
107.0,40.0,1428.5
107.0,41.0,1445.5
107.0,42.0,1459.5
107.0,43.0,1493.0
107.0,44.0,1526.5
107.0,45.0,1548.5
107.0,46.0,1570.5
107.0,47.0,1581.5
107.0,48.0,1592.5
107.0,49.0,1618.5
107.0,50.0,1650.0
107.0,51.0,1677.5
107.0,52.0,1699.5
108.0,10.0,494.0
108.0,11.0,744.5
108.0,12.0,755.5
108.0,13.0,770.0
108.0,14.0,785.5
108.0,15.0,813.0
108.0,16.0,839.5
108.0,17.0,856.0
108.0,18.0,873.0
108.0,19.0,885.5
108.0,20.0,897.5
108.0,21.0,910.0
108.0,22.0,923.0
108.0,23.0,935.0
108.0,24.0,946.5
108.0,25.0,961.0
108.0,26.0,1048.0
108.0,27.0,1132.0
108.0,28.0,1143.5
108.0,29.0,1155.0
108.0,30.0,1166.5
108.0,31.0,1177.5
108.0,32.0,1192.5
108.0,33.0,1208.5
108.0,34.0,1226.0
108.0,35.0,1261.5
108.0,36.0,1311.5
109.0,10.0,494.0
109.0,11.0,744.5
109.0,12.0,755.5
109.0,13.0,770.0
109.0,14.0,785.5
109.0,15.0,813.0
109.0,16.0,839.5
110.0,10.0,494.0
111.0,10.0,494.0
111.0,11.0,744.5
111.0,12.0,755.5
112.0,10.0,494.0
112.0,11.0,744.5
113.0,10.0,494.0
113.0,11.0,744.5
113.0,12.0,755.5
114.0,10.0,494.0
114.0,11.0,744.5
114.0,12.0,755.5
114.0,13.0,770.0
114.0,14.0,785.5
114.0,15.0,813.0
114.0,16.0,839.5
114.0,17.0,856.0
114.0,18.0,873.0
114.0,19.0,885.5
114.0,20.0,897.5
114.0,21.0,910.0
114.0,22.0,923.0
114.0,23.0,935.0
114.0,24.0,946.5
114.0,25.0,961.0
115.0,10.0,494.0
115.0,11.0,744.5
115.0,12.0,755.5
115.0,13.0,770.0
115.0,14.0,785.5
115.0,15.0,813.0
115.0,16.0,839.5
116.0,10.0,494.0
117.0,10.0,494.0
118.0,10.0,494.0
119.0,10.0,494.0
120.0,10.0,494.0
120.0,11.0,744.5
120.0,12.0,755.5
120.0,13.0,770.0
120.0,14.0,785.5
120.0,15.0,813.0
120.0,16.0,839.5
120.0,17.0,856.0
121.0,10.0,494.0
121.0,11.0,744.5
122.0,10.0,494.0
123.0,11.0,744.5
124.0,11.0,744.5
125.0,11.0,744.5
126.0,11.0,744.5
126.0,12.0,755.5
126.0,13.0,770.0
126.0,14.0,785.5
126.0,15.0,813.0
126.0,16.0,839.5
127.0,11.0,744.5
128.0,11.0,744.5
128.0,12.0,755.5
128.0,13.0,770.0
128.0,14.0,785.5
128.0,15.0,813.0
128.0,16.0,839.5
128.0,17.0,856.0
128.0,18.0,873.0
128.0,19.0,885.5
128.0,20.0,897.5
129.0,11.0,744.5
129.0,12.0,755.5
130.0,12.0,755.5
131.0,12.0,755.5
132.0,12.0,755.5
133.0,12.0,755.5
134.0,12.0,755.5
135.0,13.0,770.0
135.0,14.0,785.5
135.0,15.0,813.0
135.0,16.0,839.5
136.0,13.0,770.0
137.0,13.0,770.0
138.0,13.0,770.0
139.0,14.0,785.5
140.0,14.0,785.5
141.0,14.0,785.5
141.0,15.0,813.0
141.0,16.0,839.5
141.0,17.0,856.0
141.0,18.0,873.0
142.0,14.0,785.5
143.0,14.0,785.5
144.0,14.0,785.5
145.0,14.0,785.5
146.0,14.0,785.5
147.0,15.0,813.0
147.0,16.0,839.5
147.0,17.0,856.0
147.0,18.0,873.0
147.0,19.0,885.5
147.0,20.0,897.5
